Participant,Gender,Test_Date,Trial_Number,Positive_Video_Side,Positive_Video_Name,Negative_Video_Name,LeftVideo_Time,RightVideo_Time,Opens_LeftVideo,Opens_RightVideo
Subject 18: Kisembo,Male,1/22/24,1,Left,Play 1,Conflict 1,2,3,1,1
Subject 18: Kisembo,Male,1/22/24,2,Left,Groom 1,Conflict 2,9,0,1,0
Subject 18: Kisembo,Male,1/26/24,3,Right ,Play 2,Conflict 5,5,11,1,1
Subject 18: Kisembo,Male,1/26/24,4,Right ,Groom 2,Conflict 3,3,0,1,0
Subject 19: Namukisa,Female,1/24/24,1,Left,Groom 1,Conflict 2,2,4,1,1
Subject 19: Namukisa,Female,1/24/24,2,Left,Play 2,Conflict 5,0,0,0,0
Subject 19: Namukisa,Female,2/15/24,3,Right ,Groom 2,Conflict 1,0,0,0,0
Subject 19: Namukisa,Female,2/15/24,4,Right ,Play 1,Conflict 6,0,0,0,0
Subject 20: Kaza,Female,2/14/24,1,Right ,Groom 1,Conflict 4,0,0,0,0
Subject 20: Kaza,Female,2/14/24,2,Right ,Play 2,Conflict 3,0,0,0,0
Subject 20: Kaza,Female,2/15/24,3,Right ,Groom 2,Conflict 5,0,0,0,0
Subject 20: Kaza,Female,2/15/24,4,Right ,Play 1,Conflict 1,0,5,0,1
Subject 21: Tumbo,Male,2/14/24,1,Right ,Play 1 ,Conflict 4,2,2,1,1
Subject 21: Tumbo,Male,2/14/24,2,Right ,Groom 1,Conflict 2,1,1,1,1
Subject 21: Tumbo,Male,2/16/24,3,Left,Groom 2,Conflict 6,0,3,0,1
Subject 21: Tumbo,Male,2/16/24,4,Left,Play 2,Conflict 3,6,5,1,1
Subject 22: Eddie,Male,2/14/24,1,Right ,Play 2,Conflict 2,0,0,0,0
Subject 22: Eddie,Male,2/14/24,2,Right ,Groom 2,Conflict 4,0,0,0,0
Subject 22: Eddie,Male,2/16/24,3,Left,Groom 1,Conflict 1,0,0,0,0
Subject 22: Eddie,Male,2/16/24,4,Left,Play 1 ,Conflict 6,0,0,0,0
Subject 23: Bahati,Female,2/14/24,1,Right ,Groom 1,Conflict 1,1,4,1,1
Subject 23: Bahati,Female,2/14/24,2,Right ,Play 1 ,Conflict 4,7,4,1,1
Subject 23: Bahati,Female,2/15/24,3,Left,Play 2,Conflict 5,0,2,0,1
Subject 23: Bahati,Female,2/15/24,4,Left,Groom 2,Conflict 2,6,0,1,0
Subject 24: Mawa,Male,2/15/24,1,Left,Groom 2,Conflict 4,0,0,0,0
Subject 24: Mawa,Male,2/15/24,2,Left,Play 2,Conflict 5,20,0,1,0
Subject 24: Mawa,Male,2/16/24,3,Left,Play 1 ,Conflict 3,0,0,0,0
Subject 24: Mawa,Male,2/16/24,4,Left,Groom 1,Conflict 1,0,0,0,0
Subject 25: Rutoto ,Male,2/15/24,1,Left,Groom 1,Conflict 3,6,2,1,1
Subject 25: Rutoto ,Male,2/15/24,2,Left,Play 2,Conflict 4,0,7,0,1
,,,,,,,,,,
