ID,Age_Months,Gender,Trial_Number,Social_Video_Side,Video_Names,Fam_Right_Box,Fam_Left_Box,Opens_RightVideo,Opens_LeftVideo,RightVideo_Height,LeftVideo_Height,RightVideo_Time,LeftVideo_Time,N_Switch,First_Box
9_4M_Zoo,58,M,3,R,Social_Caregiving_M2/Nonsocial_Play_M2 ,1,1,0,1,0,8,0,27,0,
9_4M_Zoo,58,M,4,R,Social_Grooming_M2/Nonsocial_Conflict_M1 ,1,1,1,0,12,0,28,0,0,
10_5M_Zoo,67,M,1,R,Social_Conflict_M1/Nonsocial_Play_M1,1,1,1,1,11,10,5,17,1,
10_5M_Zoo,67,M,2,R,Social_Grooming_M2/Nonsocial_Conflict_M2,1,1,1,1,11,11,16,8,1,
10_5M_Zoo,67,M,3,R,Social_Play_M2/Nonsocial_Caregiving_M1 ,1,1,1,0,12,0,23,0,0,
10_5M_Zoo,67,M,4,R,Social_Caregiving_M2/Nonsocial_Grooming_M1,1,1,1,1,11,11,9,12,1,
3_5F_Zoo,69,F,1,L,Social_Grooming_F1/Nonsocial_Conflict_F2,1,1,1,1,11,8,14,8,3,
3_5F_Zoo,69,F,2,L,Social_Caregiving_F1/Nonsocial_Play_F2 ,1,1,1,1,8,9,10,12,4,
3_5F_Zoo,69,F,3,L,Social_Play_F1/Nonsocial_Conflict_F1 ,1,1,1,1,7,8,8,12,4,
3_5F_Zoo,69,F,4,L,Social_Conflict_F1/Nonsocial_Caregiving_F2,1,1,1,1,9,9,9,14,4,
11_5M_Zoo,70,M,1,R,Social_Grooming_M1/ Nonsocial_Conflict_M1,1,1,1,0,11,0,28,0,0,
11_5M_Zoo,70,M,2,R,Social_Play_M1/Nonsocial_Grooming_M2 ,1,1,1,0,12,0,19,0,0,
11_5M_Zoo,70,M,3,R,Social_Conflict_M2/Nonsocial_Caregiving_M1,1,1,0,1,0,10,28,0,0,
11_5M_Zoo,70,M,4,R,Social_Caregiving_M2/Nonsocial_Play_M2,1,1,1,0,10,0,15,0,0,
4_6F_Zoo,81,F,1,L,Nonsocial_Grooming_F2/ Social_Caregiving_F1,1,1,1,1,8,8,8,15,1,
4_6F_Zoo,81,F,2,L,Nonsocial_Conflict_F2/ Social_Grooming_F1,1,1,0,1,0,7,0,19,0,
4_6F_Zoo,81,F,3,L,Nonsocial_Play_F2/ Social_Conflict_F1 ,1,1,0,1,0,9,0,28,0,
4_6F_Zoo,81,F,4,L,Nonsocial_Caregiving_F2 / Social_Play_F1,1,1,0,1,0,7,0,25,0,
12_4M_Zoo,57,M,1,R,Nonsocial_Grooming_M2/ Social_Caregiving_M1,1,1,1,1,10,11,10,16,1,
12_4M_Zoo,57,M,2,R,Nonsocial_Caregiving_M2/ Social_Conflict_M2 ,1,1,1,1,10,11,9,5,1,
12_4M_Zoo,57,M,3,R,Nonsocial_Conflict_M1/ Social_Play_M2,1,1,1,1,10,10,9,7,1,
12_4M_Zoo,57,M,4,R,Nonsocial_Play_M1/ Social_Grooming_M1,1,1,1,0,12,0,28,0,0,
5_4F_Zoo,54,F,1,L,Nonsocial_Conflict_F2/ Social_Play_F2,1,1,1,1,8,9,4,14,2,
5_4F_Zoo,54,F,2,L,Nonsocial_Grooming_F1/ Social_Caregiving_F1 ,1,1,1,1,10,8,13,14,2,
5_4F_Zoo,54,F,3,L,Nonsocial_Play_F1/ Social_Grooming_F2 ,1,1,1,1,7,9,7,18,2,
5_4F_Zoo,54,F,4,L,Nonsocial_Caregiving_F2/ Social_Conflict_F1,1,1,1,1,9,10,5,19,2,
6_5F_Zoo,63,F,1,L,Nonsocial_Play_F2/ Social_Conflict_F2,1,1,1,1,7,8,9,7,1,
6_5F_Zoo,63,F,2,L,Nonsocial_Grooming_F1/ Social_Caregiving_F1,1,1,1,1,7,10,10,17,1,
6_5F_Zoo,63,F,3,L,Nonsocial_Conflict_F1/ Social_Play_F1 ,1,1,1,1,8,8,11,16,1,
6_5F_Zoo,63,F,4,L,Nonsocial_Caregiving_F2/ Social_Grooming_F2 ,1,1,0,1,0,7,0,28,0,
7_6F_Zoo,76,F,1,L,Social_Grooming_F2/ Nonsocial_Conflict_F2,1,1,0,1,0,8,0,28,0,
7_6F_Zoo,76,F,2,L,Social_Conflict_F2/ Nonsocial_Caregiving_F2,1,1,0,1,0,6,0,28,0,
7_6F_Zoo,76,F,3,L,Social_Play_F1/ Nonsocial_Grooming_F2,1,1,1,1,7,7,5,22,1,
7_6F_Zoo,76,F,4,L,Social_Grooming_F2/ Nonsocial_Play_F1 ,1,1,1,1,9,8,21,3,1,
13_5M_Zoo,66,M,1,R,Nonsocial_Play_M1/ Social_Conflict_M2 ,1,1,1,0,6,0,28,0,0,
13_5M_Zoo,66,M,2,R,Nonsocial_Caregiving_M1/ Social_Grooming_M2 ,1,1,1,0,7,0,28,0,0,
13_5M_Zoo,66,M,3,R,Nonsocial_Conflict_M1/ Social_Caregiving_M2,1,1,0,1,0,7,0,23,0,
13_5M_Zoo,66,M,4,R,Nonsocial_Grooming_M1/ Social_Play_M2 ,1,1,1,0,8,0,27,0,0,
14_4M_Zoo,59,M,1,R,Nonsocial_Conflict_M1/ Social_Grooming_M2 ,1,1,1,0,6,0,25,0,0,
14_4M_Zoo,59,M,2,R,Nonsocial_Grooming_M1/ Social_Play_M2,1,1,0,1,0,7,0,28,0,
14_4M_Zoo,59,M,3,R,Nonsocial_Play_M1/ Social_Caregiving_M1 ,1,1,1,0,8,0,29,0,0,
14_4M_Zoo,59,M,4,R,Nonsocial_Caregiving_M2/ Social_Conflict_M2,1,1,1,0,8,0,29,0,0,
9_6F_Zoo,77,F,1,R,Social_Play_F1/ Nonsocial_Caregiving_F1,1,1,0,1,0,8,0,27,0,
9_6F_Zoo,77,F,2,R,Social_Conflict_F2/ Nonsocial_Grooming_F1,1,1,1,1,8,10,12,13,1,
9_6F_Zoo,77,F,3,R,Social_Caregiving_F2/ Nonsocial_Play_F2,1,1,1,1,8,9,5,22,1,
9_6F_Zoo,77,F,4,R,Social_Grooming_F2/ Nonsocial_Conflict_F1,1,1,1,1,9,10,15,13,1,
10_4F_Zoo,53,F,1,R,Social_Conflict_F1 / Nonsocial_Play_F1,1,1,0,1,0,7,0,13,0,
10_4F_Zoo,53,F,2,R,Social_Grooming_F2 / Nonsocial_Conflict_F2,1,1,0,1,0,5,0,27,0,
10_4F_Zoo,53,F,3,R,Social_Play_F2 / Nonsocial_Caregiving_F1,1,1,1,1,6,5,11,4,1,
10_4F_Zoo,53,F,4,R,Social_Caregiving_F2 / Nonsocial_Grooming_F1 ,1,1,1,1,7,9,18,4,1,
11_6F_LHS ,79,F,1,R,Nonsocial_Conflict_F1/Social_Grooming_F1,1,1,1,0,9,0,28,0,0,
11_6F_LHS ,79,F,2,R,Nonsocial_Grooming_F2/Social_Play_F1,1,1,0,1,0,9,0,28,0,
11_6F_LHS ,79,F,3,R,Nonsocial_Caregiving_f2/Social_Conflict_F2,1,1,1,0,8,0,28,0,0,
11_6F_LHS ,79,F,4,R,Nonsocial_Play_F2/Social_Caregiving_F2,1,1,0,1,0,9,0,28,0,
13_5F_LHS,70,F,1,R,Nonsocial_Grooming_F2 /  Social_Caregiving_F1,1,1,1,1,8,10,11,7,2,
13_5F_LHS,70,F,2,R,Nonsocial_Caregiving_F2 /  Social_Conflict_F1,1,1,1,1,7,11,6,19,1,
13_5F_LHS,70,F,3,R,Nonsocial_Conflict_F1 /  Social_Play_F2 ,1,1,1,1,12,11,10,10,3,
13_5F_LHS,70,F,4,R,Nonsocial_Play_F1 /  Social_Grooming_F1 ,1,1,1,1,8,10,10,14,2,
12_4F_LHS ,59,F,1,R,Social_Conflict_F2 /  Nonsocial_Play_F1,1,1,1,1,6,6,16,6,1,
12_4F_LHS ,59,F,2,R,Social_Grooming_F2 /  Nonsocial_Caregiving_F1,1,1,1,1,8,8,17,7,1,
12_4F_LHS ,59,F,3,R,Social_Caregiving_F2 /  Nonsocial_Conflict_F1,1,1,1,1,9,7,19,7,1,
12_4F_LHS ,59,F,4,R,Socrial_Play_F2 /  Nonsocial_Grooming_F1 ,1,1,0,1,0,7,0,29,0,
15_4M_Zoo ,52,M,1,R,Social_Caregiving_M2 /Nonsocial_Grooming_M2,1,1,1,0,8,0,26,0,0,
15_4M_Zoo ,52,M,2,R,Social_Grooming_M1 / Nonsocial_Play_M1,1,1,1,0,7,0,29,0,0,
15_4M_Zoo ,52,M,3,R,Social_Conflict_M2/ Nonsocial_Play_M1 ,1,1,1,0,10,0,27,0,0,
15_4M_Zoo ,52,M,4,R,Social_Play_M2/ Nonosocial_Grooming_M1,1,1,1,0,7,0,28,0,0,
14_4F_Zoo,59,F,1,R,Nonsocial_Conflict_F1 /  Social_Grooming_F2,1,1,1,0,7,0,29,0,0,
14_4F_Zoo,59,F,2,R,Nonsocial_Grooming_F1 /  Social_Play_F2,1,1,1,0,8,0,22,0,0,
14_4F_Zoo,59,F,3,R,Nonsocial_Play_F1 /  Social_Caregiving_F1,1,1,0,1,0,8,0,29,0,
14_4F_Zoo,59,F,4,R,Nonsocial_Caregiving_F2 /  Social_Conflict_F2,1,1,1,0,8,0,29,0,0,
15_4F_Zoo,58,F,1,R,Social_Caregiving_F2 /  Nonsocial_Grooming_F2,1,1,0,1,0,11,0,21,0,
15_4F_Zoo,58,F,2,R,Social_Grooming_F1 /  Nonsocial_Play_F1 ,1,1,1,0,8,0,26,0,0,
15_4F_Zoo,58,F,3,R,Social_Conflict_F2 /  Nonsocial_Caregiving_F1,1,1,0,1,0,12,0,21,0,
15_4F_Zoo,58,F,4,R,Social_Play_F2 /   Nonsocial_Grooming_F1,1,1,1,0,11,0,28,0,0,
8_5F_Zoo,67,F,1,L,Nonsocial_Grooming_F1/ Social_Caregiving_F2,1,1,1,1,6,6,15,2,1,
8_5F_Zoo,67,F,2,L,Nonsocial_Caregiving_F1/ Social_Play_F2,1,1,0,1,0,4,0,19,0,
8_5F_Zoo,67,F,3,L,Nonsocial_Play_F1/ Social_Conflict_F2,1,1,1,1,5,6,4,14,1,
8_5F_Zoo,67,F,4,L,Nonsocial_Conflict_F1/ Social_Grooming_F2,1,1,1,1,5,6,9,11,,
