Participant,Gender,Test_Date ,Trial_Number,Social_Video_Side,Nonsocial_Video_Name,Social_Video_Name,Fam_Right_Box,Fam_Left_Box,LeftVideo_Time,RightVideo_Time,Opens_LeftVideo,Opens_RightVideo,
Oketch,M,1/11/24,3,Left,Nonsocial_Play_M1,Social_Conflict_M2,1,1,3,7,1,1,
Oketch,M,1/11/24,4,Left,Nonsocial_Conflict_M1,Social_Play_M2,1,1,2,3,1,1,
Billy,F,1/11/24,1,Left,Nonsocial_Conflict_F1,Social_Groom_F2,1,1,20,0,1,0,
Billy,F,1/11/24,2,Left,Nonsocial_Groom_F1,Social_Play_F2,1,1,26,0,1,0,
Billy,F,1/14/24,3,Right,Nonsocial_Play_F1,Social_Caregiving_F1,1,1,8,21,1,1,
Billy,F,1/14/24,4,Right,Nonsocial_Caregiving_F2,Social_Conflict_F2,1,1,0,33,0,1,
Minnie,F,1/30/24,1,Left,Nonsocial_Caregiving_F2,Social_Play_F1,1,1,4,7,1,1,
Minnie,F,1/30/24,2,Left,Nonsocial_Groom_F2,Social_Conflict_F1,1,1,4,9,1,1,
Minnie,F,2/3/24,3,Right,Nonsocial_Conflict_F1,Social_Groom_F1,1,1,0,0,0,0,
Minnie,F,2/3/24,4,Right,Nonsocial_Play_F2,Social_Caregiving_F1,1,1,8,0,1,0,
Kaza,F,1/30/24,1,Left,Nonsocial_Play_F2,Social_Conflict_F1,1,1,4,7,1,1,
Kaza,F,1/30/24,2,Left,Nonsocial_Groom_F2,Social_Play_F1,1,1,0,9,0,1,
Kaza,F,2/1/24,3,Right,Nonsocial_Conflict_F2,Social_Caregiving_F1,1,1,2,8,1,1,
Kaza,F,2/1/24,4,Right,Nonsocial_Caregiving_F2,Social_Groom_F1,1,1,3,3,1,1,
Bahati,F,1/30/24,1,Left,Nonsocial_Conflict_F2,Social_Groom_F1,1,1,0,1,0,1,
Bahati,F,1/30/24,2,Left,Nonsocial_Play_F2,Social_Caregiving_F1,1,1,0,0,0,0,
Bahati,F,2/1/24,3,Right,Nonsocial_Conflict_F1,Social_Play_F1,1,1,3,6,1,1,
Bahati,F,2/1/24,4,Right,Nonsocial_Caregiving_F2,Social_Conflict_F1,1,1,3,0,1,0,
Rutoto,M,1/30/24,1,Left,Nonsocial_Caregiving_M1,Social_Play_M1,1,1,32,5,1,1,
Rutoto,M,1/30/24,2,Left,Nonsocial_Groom_M2,Social_Conflict_M1,1,1,5,18,1,1,
Rutoto,M,2/1/24,3,Right,Nonsocial_Conflict_M2,Social_Groom_M1,1,1,5,18,1,1,
Rutoto,M,2/1/24,4,Right,Nonsocial_Play_M2,Social_Caregiving_M1,1,1,5,6,1,1,
Robbie,M,1/31/24,1,Left,Nonsocial_Play_M2,Social_Conflict_M1,1,1,3,4,1,1,
Robbie,M,1/31/24,2,Left,Nonsocial_Groom_M2,Social_Play_M1,1,1,2,0,1,0,
Robbie,M,2/3/24,3,Right,Nonsocial_Conflict_M2,Social_Caregiving_M1,1,1,0,8,0,1,
Robbie,M,2/3/24,4,Right,Nonsocial_Caregiving_M1,Social_Groom_M1,1,1,0,0,0,0,
Umutama,M,1/31/24,1,Left,Nonsocial_Conflict_M2,Social_Groom_M1,1,1,8,0,1,0,
Umutama,M,1/31/24,2,Left,Nonsocial_Play_M2,Social_Caregiving_M1,1,1,0,4,0,1,
Umutama,M,2/3/24,3,Right,Nonsocial_Conflict_M2,Social_Play_M1,1,1,2,3,1,1,
Umutama,M,2/3/24,4,Right,Nonsocial_Caregiving_M1,Social_Conflict_M1,1,1,4,0,1,0,
Tumbo,M,1/31/24,1,Left,Nonsocial_Groom_M2,Social_Caregiving_M1,1,1,10,6,1,1,
Tumbo,M,1/31/24,2,Left,Nonsocial_Conflict_M2,Social_Groom_M1,1,1,7,2,1,1,
Tumbo,M,2/3/24,3,Right,Nonsocial_Play_M2,Social_Conflict_M1,1,1,2,2,1,1,
Tumbo,M,2/3/24,4,Right,Nonsocial_Caregiving_M1,Social_Play_M1,1,1,0,0,0,0,
Kisembo,M,1/31/24,1,Right,Nonsocial_Conflict_M2,Social_Play_M2,1,1,0,3,0,1,
Kisembo,M,1/31/24,2,Right,Nonsocial_Groom_M1,Social_Caregiving_M1,1,1,10,0,1,0,
Kisembo,M,2/3/24,3,Left,Nonsocial_Play_M1,Social_Groom_M2,1,1,0,7,0,1,
Kisembo,M,2/3/24,4,Left,Nonsocial_Caregiving_M1,Social_Conflict_M1,1,1,9,0,1,0,
Eddie,M,1/31/24,1,Right,Nonsocial_Caregiving_M1,Social_Conflict_M2,1,1,9,6,1,1,
Eddie,M,1/31/24,2,Right,Nonsocial_Groom_M1,Social_Caregiving_M1,1,1,0,0,0,0,
Eddie,M,2/3/24,3,Left,Nonsocial_Conflict_M1,Social_Play_M2,1,1,4,2,1,1,
Eddie,M,2/3/24,4,Left,Nonsocial_Play_M2,Social_Groom_M2,1,1,0,0,0,0,
Mawa,M,1/31/24,1,Right,Nonsocial_Conflict_M2,Social_Groom_M2,1,1,0,0,0,0,
Mawa,M,1/31/24,2,Right,Nonsocial_Caregiving_M1,Social_Conflict_M2,1,1,0,42,0,1,
Mawa,M,2/3/24,3,Left,Nonsocial_Groom_M2,Social_Play_M1,1,1,0,3,0,1,
Mawa,M,2/3/24,4,Left,Nonsocial_Play_M1,Social_Groom_M2,1,1,24,0,1,0,
